full_name;short_name;type;link
baqme-deelfietsen-beschikbaarheid-station-gent;baqme_1;hub;https://data.stad.gent/explore/dataset/baqme-deelfietsen-beschikbaarheid-station-gent/table/
baqme-deelfietsen-stations-locaties-gent;baqme_2;hub;https://data.stad.gent/explore/dataset/baqme-deelfietsen-stations-locaties-gent/table/
baqme-locaties-vrije-deelfietsen-gent;baqme_3;hub;https://data.stad.gent/explore/dataset/baqme-locaties-vrije-deelfietsen-gent/table/
blue-bike-deelfietsen-gent-dampoort;blue_1;hub;https://data.stad.gent/explore/dataset/blue-bike-deelfietsen-gent-dampoort/table/
blue-bike-deelfietsen-gent-sint-pieters-m-hendrikaplein;blue_2;hub;https://data.stad.gent/explore/dataset/blue-bike-deelfietsen-gent-sint-pieters-m-hendrikaplein/table/
blue-bike-deelfietsen-gent-sint-pieters-st-denijslaan;blue_3;hub;https://data.stad.gent/explore/dataset/blue-bike-deelfietsen-gent-sint-pieters-st-denijslaan/table/
blue-bike-deelfietsen-merelbeke-drongen-wondelgem;blue_4;hub;https://data.stad.gent/explore/dataset/blue-bike-deelfietsen-merelbeke-drongen-wondelgem/table/
donkey-republic-deelfietsen-stations-locaties;donkey_1;hub;https://data.stad.gent/explore/dataset/donkey-republic-beschikbaarheid-deelfietsen-per-station/table/
dott-deelfietsen-hubs-gent;dott_1;hub;https://data.stad.gent/explore/dataset/dott-deelfietsen-gent/table/
donkey-republic-beschikbaarheid-deelfietsen-per-station;donkey_bikes;bikes;https://data.stad.gent/explore/dataset/donkey-republic-beschikbaarheid-deelfietsen-per-station/table/
dott-deelfietsen-gent;dott_bikes;bikes;https://data.stad.gent/explore/dataset/dott-deelfietsen-gent/table/
